model,evaluation_protocol,source_file,Range,Accuracy@5,Accuracy@15,Accuracy@25,Accuracy@50,Accuracy,Precision@5(micro),Precision@5(macro),Precision@15(micro),Precision@15(macro),Precision@25(micro),Precision@25(macro),Precision@50(micro),Precision@50(macro),Precision(micro),Precision(macro),Recall@5(micro),Recall@5(macro),Recall@15(micro),Recall@15(macro),Recall@25(micro),Recall@25(macro),Recall@50(micro),Recall@50(macro),Recall(micro),Recall(macro)
SVD,validation-only ranking,svd_rating_metrics.csv,0.1,0.141,0.135,0.13876,0.138,0.137137777921997,0.38425,0.19,0.3880426934176934,0.1950474948464234,0.3916063709896914,0.2007090866232533,0.380602783973478,0.1948147504172152,0.3761144665574804,0.1944372578046548,0.141,0.1292916666666667,0.135,0.10862407005032,0.13876,0.0997340242184314,0.138,0.0890495765550525,0.137137777921997,0.0831222707812323
SVD,validation-only ranking,svd_rating_metrics.csv,0.3,0.4054,0.3980666666666667,0.3975200000000001,0.39538,0.3934574357600812,0.4858305555555555,0.3291833333333333,0.3903604054879327,0.2706250083051868,0.3793748221494553,0.2560181436183767,0.3699951879101383,0.2386400673873002,0.3635033058552206,0.2319300051254833,0.4054,0.3745611111111111,0.3980666666666667,0.3223419657194657,0.3975200000000001,0.2963341950114428,0.39538,0.2631713339565032,0.3934574357600812,0.2479808869490191
SVD,validation-only ranking,svd_rating_metrics.csv,0.5,0.6094,0.6038666666666667,0.60352,0.59988,0.5974332224165705,0.4706202380952381,0.3821036111111111,0.3664169031147418,0.2953397549077906,0.3513456776464275,0.2778456688842572,0.339771334116049,0.2547118929736499,0.3337754992163975,0.2450798599190904,0.6094,0.5768111111111112,0.6038666666666668,0.5076533461445961,0.60352,0.4758998279189441,0.59988,0.4271246126346329,0.5974332224165705,0.4027003539225552
SVD,validation-only ranking,svd_rating_metrics.csv,0.7,0.7536,0.7440666666666667,0.74548,0.74568,0.7436239543106022,0.4529495337995338,0.4028294444444444,0.3374532225401324,0.3004753328098269,0.3185773838942652,0.277190363636749,0.306258883001693,0.251924313494202,0.2999388324103239,0.2400212317250177,0.7536,0.7264916666666666,0.7440666666666667,0.6557994242331743,0.74548,0.6219047461089797,0.7456799999999999,0.5702983900309375,0.7436239543106022,0.5415641275208579
SVD,validation-only ranking,svd_rating_metrics.csv,1.0,0.8824000000000001,0.8781333333333334,0.8774000000000001,0.87676,0.8745398993450899,0.4280228379420717,0.4145675,0.2989623801642448,0.2869395694803432,0.2754395990512363,0.25519262230655,0.2608686063726296,0.2293823266507144,0.2535740273141716,0.2156178883200823,0.8824000000000001,0.8670805555555555,0.8781333333333334,0.8164583214933214,0.8774000000000001,0.7819473155623184,0.87676,0.734827795293777,0.8745398993450899,0.7070963559647027
ItemCF,validation-only ranking,item_based_rating_metrics.csv,0.1,0.1178,0.1233333333333333,0.12232,0.1232,0.1242195994436948,0.2797999999999999,0.1289430555555555,0.335715367965368,0.1240623453927025,0.3371561166817358,0.1162780964404004,0.3367374910382289,0.1109928002848864,0.3369140247621454,0.1067056362885514,0.1178,0.1080694444444444,0.1233333333333333,0.0904732307969808,0.12232,0.0789857297739647,0.1232,0.0686853866457312,0.1242195994436948,0.0638174125730787
ItemCF,validation-only ranking,item_based_rating_metrics.csv,0.3,0.3458,0.3555333333333333,0.35308,0.3558199999999999,0.3572518157673219,0.3892253968253968,0.2341825,0.3436224399738399,0.1836341760168843,0.3357337359566324,0.1664171478164164,0.3331068571745049,0.1518024090027875,0.3307474751213273,0.1468547201505875,0.3458,0.3179194444444444,0.3555333333333333,0.2682532249232249,0.35308,0.2375115336636455,0.3558199999999999,0.2051664230226765,0.3572518157673219,0.1921501162288093
ItemCF,validation-only ranking,item_based_rating_metrics.csv,0.5,0.5605999999999999,0.5564666666666667,0.5543199999999999,0.55428,0.5521917806893598,0.4250769119769119,0.3085158333333334,0.3322723213884033,0.2189755248554355,0.3210818993323366,0.1962296740625723,0.3143910245214033,0.1735179188794089,0.3090143202382578,0.1617032851368315,0.5605999999999999,0.5207999999999999,0.5564666666666667,0.4373347354959855,0.5543199999999999,0.3945448725025531,0.55428,0.3419837105197195,0.5521917806893598,0.3179170797979501
ItemCF,validation-only ranking,item_based_rating_metrics.csv,0.7,0.6982,0.6986,0.69676,0.69804,0.694094110487825,0.4169199494949495,0.3350436111111111,0.3115028349240724,0.2378569254599016,0.2951335182599133,0.2092127001913834,0.2867333759542542,0.1842303903657651,0.2806541432126533,0.1708949430356255,0.6982,0.6614166666666667,0.6986,0.5797116123228624,0.69676,0.5285988491564888,0.69804,0.4685826656967785,0.694094110487825,0.4360866018548055
ItemCF,validation-only ranking,item_based_rating_metrics.csv,1.0,0.8336,0.8360000000000001,0.83504,0.8341000000000001,0.8306871662483113,0.4043884861225805,0.358755,0.2825606104196905,0.2419510668850549,0.2611969914999398,0.2099428092397691,0.2471307388506873,0.1846334641029585,0.2398743205098774,0.1702957457263894,0.8336,0.8062611111111111,0.8360000000000001,0.7433978654678653,0.8350400000000001,0.6935468535876365,0.8341000000000001,0.629557748407274,0.8306871662483113,0.5938236260662902
